cui1,rel,cui2_raw,cui2_resolved,rela,sab,cui2_name
C0001122,RO,A16791845,C0052327,may_treat,MED-RT,arginine aspartate
C0001122,RO,A31746177,C0142785,may_treat,MED-RT,sodium acetate
C0001122,RO,A31693932,C0142874,may_treat,MED-RT,sodium lactate
C0001122,RO,A31731891,C0301556,may_treat,MED-RT,arginine hydrochloride
C0001122,RO,A31645206,C0304713,contraindicated_with_disease,MED-RT,acetazolamide sodium
C0001122,RO,A31751798,C0376259,may_treat,MED-RT,citrate
C0001122,RO,A31689374,C0887700,may_treat,MED-RT,"sodium acetate, anhydrous"
C0001122,RO,A26700410,C2699543,may_treat,MED-RT,"arginine, D-"
C0001122,RO,A26519139,C2699547,may_treat,MED-RT,"arginine, DL-"
C0001122,RO,A18500885,C2937701,may_treat,MED-RT,arginine aminobenzoate
C0001122,RO,A31754267,C3256457,may_treat,MED-RT,tromethamine hydrochloride
C0001125,RO,A31676413,C0020352,contraindicated_with_disease,MED-RT,hetastarch
C0001125,RO,A10339682,C0538727,contraindicated_with_disease,MED-RT,icodextrin
C0001126,RO,A31705469,C0055819,may_treat,MED-RT,citric acid
C0001126,RO,A31760868,C0074722,may_treat,MED-RT,sodium bicarbonate
C0001126,RO,A10337702,C0137996,may_treat,MED-RT,potassium citrate
C0001126,RO,A24635339,C0724556,may_treat,MED-RT,citric acid monohydrate
C0001126,RO,A16796978,C0724674,may_treat,MED-RT,potassium citrate monohydrate
C0001126,RO,A16790800,C0724696,may_treat,MED-RT,sodium citrate dihydrate
C0001126,RO,A31758106,C0725616,may_treat,MED-RT,"citric acid, anhydrous"
C0001126,RO,A31737766,C3665261,may_treat,MED-RT,"citric acid, 1-stearyl ester"
C0001126,RO,A29473731,C4704493,may_treat,MED-RT,disodium citrate sesquihydrate
C0001127,RO,A31695198,C0002615,contraindicated_with_disease,MED-RT,ammonium chloride
C0001127,RO,A31687501,C0007012,contraindicated_with_disease,MED-RT,carbon dioxide
C0001134,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0001139,RO,A31694855,C0002499,may_treat,MED-RT,amikacin
C0001139,RO,A31729773,C0002501,may_treat,MED-RT,amikacin sulfate
C0001139,RO,A31653650,C0007554,may_treat,MED-RT,cefotaxime
C0001139,RO,A31723332,C0007559,may_treat,MED-RT,ceftazidime
C0001139,RO,A31758017,C0007560,may_treat,MED-RT,ceftizoxime
C0001139,RO,A31653651,C0007561,may_treat,MED-RT,ceftriaxone
C0001139,RO,A31642535,C0022487,may_treat,MED-RT,kanamycin
C0001139,RO,A26459362,C0022489,may_treat,MED-RT,kanamycin A
C0001139,RO,A31698170,C0038665,may_treat,MED-RT,sulbactam
C0001139,RO,A10337008,C0055003,may_treat,MED-RT,cefepime
C0001139,RO,A31748205,C0282355,may_treat,MED-RT,sulbactam sodium
C0001139,RO,A31661242,C0282391,may_treat,MED-RT,ceftizoxime sodium
C0001139,RO,A16794391,C0617131,may_treat,MED-RT,sulbactam pivoxyl
C0001139,RO,A31739806,C0700445,may_treat,MED-RT,cefotaxime sodium
C0001139,RO,A31652835,C0700527,may_treat,MED-RT,ceftriaxone sodium
C0001139,RO,A31652837,C0700540,may_treat,MED-RT,kanamycin sulfate
C0001139,RO,A31723423,C0724548,may_treat,MED-RT,ceftazidime sodium
C0001139,RO,A31723848,C0770649,may_treat,MED-RT,ceftazidime pentahydrate
C0001139,RO,A31758527,C0771284,may_treat,MED-RT,cefepime hydrochloride
C0001139,RO,A31649778,C2697837,may_treat,MED-RT,kanamycin A sulfate
C0001139,RO,A24111680,C2983899,may_treat,MED-RT,ceftazidime anhydrous
C0001144,RO,A31720212,C0005088,may_treat,MED-RT,benzoyl peroxide
C0001144,RO,A31689310,C0008947,may_treat,MED-RT,clindamycin
C0001144,RO,A31759540,C0011276,may_treat,MED-RT,demeclocycline
C0001144,RO,A31657726,C0014806,may_treat,MED-RT,erythromycin
C0001144,RO,A31640363,C0014809,may_treat,MED-RT,erythromycin estolate
C0001144,RO,A31657727,C0014810,may_treat,MED-RT,erythromycin ethylsuccinate
C0001144,RO,A31744649,C0014813,may_treat,MED-RT,erythromycin phosphate
C0001144,RO,A31658780,C0017449,may_treat,MED-RT,oxytetracycline hydrochloride
C0001144,RO,A31711061,C0019435,may_treat,MED-RT,hexachlorophene
C0001144,RO,A31642509,C0022265,may_treat,MED-RT,isotretinoin
C0001144,RO,A31712577,C0026186,may_treat,MED-RT,minocycline hydrochloride
C0001144,RO,A31712578,C0026187,may_treat,MED-RT,minocycline
C0001144,RO,A31678005,C0028356,may_treat,MED-RT,norethindrone
C0001144,RO,A31747758,C0030092,may_treat,MED-RT,oxytetracycline
C0001144,RO,A16796737,C0036075,may_treat,MED-RT,salicylate
C0001144,RO,A31714795,C0036079,may_treat,MED-RT,salicylic acid
C0001144,RO,A31662677,C0037549,may_treat,MED-RT,sodium salicylate
C0001144,RO,A31733048,C0038774,may_treat,MED-RT,sulfur
