cui1,rel,cui2,rela,sab
C0001175,RO,A31677210,contraindicated_with_disease,MED-RT
C0001175,RO,A31682113,may_treat,MED-RT
C0001175,RO,A31762325,may_treat,MED-RT
C0001175,RO,A31693530,may_treat,MED-RT
C0001175,RO,A10340605,contraindicated_with_disease,MED-RT
C0001175,RO,A31764174,may_treat,MED-RT
C0001175,RO,A31642860,may_treat,MED-RT
C0001175,RO,A31677855,contraindicated_with_disease,MED-RT
C0001175,RO,A17023021,may_treat,MED-RT
C0001175,RO,A31696073,may_treat,MED-RT
C0001175,RO,A31765780,may_treat,MED-RT
C0001175,RO,A31661759,may_treat,MED-RT
C0001175,RO,A31664822,may_treat,MED-RT
C0001175,RO,A31735843,may_treat,MED-RT
C0001175,RO,A10480587,contraindicated_with_disease,MED-RT
C0001175,RO,A31719766,may_treat,MED-RT
C0001175,RO,A10435977,may_treat,MED-RT
C0001175,RO,A31702607,may_treat,MED-RT
C0001175,RO,A10340609,may_treat,MED-RT
C0001175,RO,A10351699,may_treat,MED-RT
C0001175,RO,A10340650,may_treat,MED-RT
C0001175,RO,A10387208,may_treat,MED-RT
C0001175,RO,A31635398,may_treat,MED-RT
C0001175,RO,A16790793,may_treat,MED-RT
C0001175,RO,A31636545,may_treat,MED-RT
C0001175,RO,A10387235,contraindicated_with_disease,MED-RT
C0001175,RO,A31759090,may_treat,MED-RT
C0001175,RO,A31655203,contraindicated_with_disease,MED-RT
C0001175,RO,A31759725,may_treat,MED-RT
C0001175,RO,A31655981,may_treat,MED-RT
C0001175,RO,A10483527,may_treat,MED-RT
C0001175,RO,A31638702,may_treat,MED-RT
C0001175,RO,A31657663,may_treat,MED-RT
C0001175,RO,A11266083,may_treat,MED-RT
C0001175,RO,A16792375,may_treat,MED-RT
C0001175,RO,A31738221,may_treat,MED-RT
C0001175,RO,A32457302,may_treat,MED-RT
C0001175,RO,A24112865,may_treat,MED-RT
C0001175,RO,A26446214,may_treat,MED-RT
C0001175,RO,A35582579,may_treat,MED-RT
C0001186,RO,A31663536,contraindicated_class_of,MED-RT
C0001186,RO,A31706345,contraindicated_class_of,MED-RT
C0001206,RO,A31756224,may_treat,MED-RT
C0001206,RO,A31660823,may_treat,MED-RT
C0001206,RO,A10338114,may_treat,MED-RT
C0001206,RO,A31214314,may_treat,MED-RT
C0001206,RO,A31636293,may_treat,MED-RT
C0001206,RO,A16788308,may_treat,MED-RT
C0001206,RO,A10483535,may_treat,MED-RT
C0001206,RO,A37843920,may_treat,MED-RT
C0001206,RO,A37842057,may_treat,MED-RT
C0001255,RO,A31689310,may_treat,MED-RT
C0001255,RO,A16788058,may_treat,MED-RT
C0001255,RO,A18542397,may_treat,MED-RT
C0001255,RO,A31713485,may_treat,MED-RT
C0001255,RO,A31662498,may_treat,MED-RT
C0001261,RO,A31677861,may_treat,MED-RT
C0001261,RO,A31677937,may_treat,MED-RT
C0001261,RO,A31759540,may_treat,MED-RT
C0001261,RO,A31695691,may_treat,MED-RT
C0001261,RO,A16789325,may_treat,MED-RT
C0001261,RO,A16793055,may_treat,MED-RT
C0001261,RO,A31662676,may_treat,MED-RT
C0001261,RO,A31661223,may_treat,MED-RT
C0001261,RO,A31643844,may_treat,MED-RT
C0001261,RO,A31632602,may_treat,MED-RT
C0001261,RO,A31687484,may_treat,MED-RT
C0001261,RO,A31757149,may_treat,MED-RT
C0001261,RO,A31757156,may_treat,MED-RT
C0001261,RO,A16794503,may_treat,MED-RT
C0001261,RO,A31684276,may_treat,MED-RT
C0001261,RO,A16788373,may_treat,MED-RT
C0001261,RO,A31649650,may_treat,MED-RT
C0001268,RO,A0051521,has_contraindicated_drug,MED-RT
C0001268,RO,A28939259,therapeutic_class_of,MED-RT
C0001275,RO,A0021581,has_contraindicated_class,MED-RT
C0001275,RO,A0135471,has_contraindicated_class,MED-RT
C0001275,RO,A0102802,has_contraindicated_drug,MED-RT
C0001275,RO,A30275406,therapeutic_class_of,MED-RT
C0001314,RO,A31690769,contraindicated_with_disease,MED-RT
C0001314,RO,A31635093,contraindicated_with_disease,MED-RT
C0001314,RO,A10337270,contraindicated_with_disease,MED-RT
C0001314,RO,A10337289,contraindicated_with_disease,MED-RT
C0001314,RO,A10337787,contraindicated_with_disease,MED-RT
C0001314,RO,A31640632,contraindicated_with_disease,MED-RT
C0001314,RO,A31695239,contraindicated_with_disease,MED-RT
C0001314,RO,A16789573,contraindicated_with_disease,MED-RT
C0001314,RO,A20290741,contraindicated_with_disease,MED-RT
C0001314,RO,A31460074,contraindicated_with_disease,MED-RT
C0001314,RO,A20843500,contraindicated_with_disease,MED-RT
C0001314,RO,A31702411,contraindicated_with_disease,MED-RT
C0001314,RO,A22642736,contraindicated_with_disease,MED-RT
C0001314,RO,A22645968,contraindicated_with_disease,MED-RT
C0001367,RO,A31763114,contraindicated_class_of,MED-RT
C0001367,RO,A31643858,contraindicated_class_of,MED-RT
C0001367,RO,A28936459,therapeutic_class_of,MED-RT
C0001367,RO,A0051521,has_contraindicated_drug,MED-RT
C0001396,RO,A31764227,may_treat,MED-RT
C0001396,RO,A31677501,contraindicated_with_disease,MED-RT
C0001396,RO,A10338278,contraindicated_with_disease,MED-RT
C0001396,RO,A31661236,may_treat,MED-RT
C0001396,RO,A31730811,may_treat,MED-RT
C0001396,RO,A31661281,contraindicated_with_disease,MED-RT
C0001396,RO,A31702674,contraindicated_with_disease,MED-RT
C0001396,RO,A31736626,contraindicated_with_disease,MED-RT
C0001403,RO,A31725074,may_treat,MED-RT
C0001403,RO,A31725075,may_treat,MED-RT
C0001403,RO,A31710684,may_treat,MED-RT
C0001403,RO,A31642798,contraindicated_with_disease,MED-RT
C0001403,RO,A31660231,contraindicated_with_disease,MED-RT
C0001403,RO,A31731410,contraindicated_with_disease,MED-RT
C0001403,RO,A31767344,contraindicated_with_disease,MED-RT
C0001403,RO,A31705469,contraindicated_with_disease,MED-RT
C0001403,RO,A27391798,may_treat,MED-RT
C0001403,RO,A16790587,may_treat,MED-RT
C0001403,RO,A16790588,may_treat,MED-RT
C0001403,RO,A10337464,contraindicated_with_disease,MED-RT
C0001403,RO,A10337697,contraindicated_with_disease,MED-RT
C0001403,RO,A31711045,may_treat,MED-RT
