itemid,label,category,fluid
51638,Hematocrit,Chemistry,Blood
51640,Hemoglobin,Chemistry,Blood
51641,Hemoglobin  A,Chemistry,Blood
51642,Hemoglobin  A1,Chemistry,Blood
51643,Hemoglobin  A2,Chemistry,Blood
51644,Hemoglobin  C,Chemistry,Blood
51646,Hemoglobin  F,Chemistry,Blood
51647,Hemoglobin  S,Chemistry,Blood
51645,"Hemoglobin, Calculated",Chemistry,Blood
50937,Hepatitis A Virus Antibody,Chemistry,Blood
50938,Hepatitis A Virus IgM Antibody,Chemistry,Blood
50939,"Hepatitis B Core Antibody, IgM",Chemistry,Blood
50940,Hepatitis B Surface Antibody,Chemistry,Blood
50941,Hepatitis B Surface Antigen,Chemistry,Blood
51648,Hepatitis B Viral Load,Chemistry,Blood
50942,Hepatitis B Virus Core Antibody,Chemistry,Blood
51649,Hepatitis B Virus E Antibody,Chemistry,Blood
51650,Hepatitis B Virus E Antigen,Chemistry,Blood
51651,Hepatitis C Viral Load,Chemistry,Blood
50943,Hepatitis C Virus Antibody,Chemistry,Blood
51652,High-Sensitivity CRP,Chemistry,Blood
51656,Hlap,Chemistry,Blood
50945,Homocysteine,Chemistry,Blood
51668,Hsap,Chemistry,Blood
51669,Htlv Ab,Chemistry,Blood
50946,Human Chorionic Gonadotropin,Chemistry,Blood
50947,I,Chemistry,Blood
51671,IFEgel,Chemistry,Blood
51675,INR(PT),Chemistry,Blood
51670,Icd9,Chemistry,Blood
51672,Immune Complexes,Chemistry,Blood
51673,Immunoelectrophoresis,Chemistry,Blood
50948,Immunofixation,Chemistry,Blood
50949,Immunoglobulin A,Chemistry,Blood
51674,Immunoglobulin E,Chemistry,Blood
50950,Immunoglobulin G,Chemistry,Blood
50951,Immunoglobulin M,Chemistry,Blood
51676,Insulin,Chemistry,Blood
50952,Iron,Chemistry,Blood
50953,"Iron Binding Capacity, Total",Chemistry,Blood
51677,K (GREEN),Chemistry,Blood
51678,L,Chemistry,Blood
51680,"LD, Isoenzyme 1",Chemistry,Blood
51681,"LD, Isoenzyme 2",Chemistry,Blood
51682,"LD, Isoenzyme 3",Chemistry,Blood
51683,"LD, Isoenzyme 4",Chemistry,Blood
51684,"LD, Isoenzyme 5",Chemistry,Blood
53154,Lactate,Chemistry,Blood
50954,Lactate Dehydrogenase (LD),Chemistry,Blood
51679,Lap,Chemistry,Blood
51685,Lidocaine,Chemistry,Blood
50955,Light Green Top Hold,Chemistry,Blood
51686,Lip2,Chemistry,Blood
50956,Lipase,Chemistry,Blood
51687,Lipo Electrophoresis,Chemistry,Blood
50957,Lithium,Chemistry,Blood
50958,Luteinizing Hormone,Chemistry,Blood
51688,Lyme C6 Ab,Chemistry,Blood
51689,Lyme G and M Value,Chemistry,Blood
53095,Lyme VsIE/PepC10 Antibody,Chemistry,Blood
53188,Lymphocytes,Chemistry,Blood
53186,MCH,Chemistry,Blood
53185,MCHC,Chemistry,Blood
51691,MCV,Chemistry,Blood
51770,MDRDgfr,Chemistry,Blood
53190,MXD%,Chemistry,Blood
50959,Macro Prolactin,Chemistry,Blood
50960,Magnesium,Chemistry,Blood
50961,Methotrexate,Chemistry,Blood
51692,"Monospot, Rapid Antigen",Chemistry,Blood
51693,Mumps IgG Ab,Chemistry,Blood
51694,Mumps IgG Ab Value,Chemistry,Blood
51695,Myoglobin,Chemistry,Blood
50962,N-Acetylprocainamide (NAPA),Chemistry,Blood
50963,NTproBNP,Chemistry,Blood
51696,Neural Tube Defect Risk,Chemistry,Blood
53164,Neutrophils,Chemistry,Blood
51698,No MD,Chemistry,Blood
51699,Not Done,Chemistry,Blood
51700,Np-fx,Chemistry,Blood
51701,"Osmolality, Calculated",Chemistry,Blood
50964,"Osmolality, Measured",Chemistry,Blood
51772,PAN3,Chemistry,Blood
51703,PEPgel,Chemistry,Blood
50965,Parathyroid Hormone,Chemistry,Blood
51702,Park,Chemistry,Blood
50966,Phenobarbital,Chemistry,Blood
50967,Phenytoin,Chemistry,Blood
50968,"Phenytoin, Free",Chemistry,Blood
