rela,sab,count
has_direct_substance,SNOMEDCT_US,26034
direct_substance_of,SNOMEDCT_US,26034
has_direct_substance,SCTSPA,25570
direct_substance_of,SCTSPA,25570
has_location,SNMI,24660
location_of,SNMI,24660
gene_encodes_gene_product,NCI,24214
gene_product_encoded_by_gene,NCI,24214
has_supersystem,LNC,23868
supersystem_of,LNC,23868
inverse_isa,HPO,23749
isa,HPO,23749
specialty_of,CPT,23620
has_specialty,CPT,23620
classified_as,CCS,23075
classifies,CCS,23075
has_expanded_form,CPT,23050
expanded_form_of,CPT,23050
moved_from,SNOMEDCT_US,22762
moved_to,SNOMEDCT_US,22762
was_a,SNOMEDCT_US,22641
inverse_was_a,SNOMEDCT_US,22641
is_normal_tissue_origin_of_disease,NCI,22417
disease_has_normal_tissue_origin,NCI,22417
parent_of,MED-RT,21511
has_parent,MED-RT,21511
constitutional_part_of,FMA,21492
has_constitutional_part,FMA,21492
direct_device_of,SNOMEDCT_US,21066
has_direct_device,SNOMEDCT_US,21066
direct_device_of,SCTSPA,21034
has_direct_device,SCTSPA,21034
disease_may_have_finding,NCI,20858
may_be_finding_of_disease,NCI,20858
has_component,SNOMEDCT_US,20649
component_of,SNOMEDCT_US,20649
has_component,SCTSPA,20640
component_of,SCTSPA,20640
inverse_isa,ORPHANET,18976
isa,ORPHANET,18976
temporal_context_of,SNOMEDCT_US,18584
has_temporal_context,SNOMEDCT_US,18584
subject_relationship_context_of,SNOMEDCT_US,18548
has_subject_relationship_context,SNOMEDCT_US,18548
expanded_form_of,ICD9CM,18449
has_expanded_form,ICD9CM,18449
has_challenge,LNC,18088
challenge_of,LNC,18088
form_of,RXNORM,18065
has_form,RXNORM,18065
temporal_context_of,SCTSPA,17729
has_temporal_context,SCTSPA,17729
subject_relationship_context_of,SCTSPA,17611
has_subject_relationship_context,SCTSPA,17611
primary_mapped_to,ICD10AM,17430
primary_mapped_from,ICD10AM,17430
entire_anatomy_structure_of,SNOMEDCT_US,16360
has_entire_anatomy_structure,SNOMEDCT_US,16360
entry_version_of,MSH,16155
has_entry_version,MSH,16155
device_used_by,SNOMEDCT_US,16133
uses_device,SNOMEDCT_US,16133
device_used_by,SCTSPA,16099
uses_device,SCTSPA,16099
inverse_isa,MMSL,15953
isa,MMSL,15953
prev_symbol_of,HGNC,15696
has_prev_symbol,HGNC,15696
inverse_isa,CCPSS,15531
isa,CCPSS,15531
inverse_isa,CPT,15478
isa,CPT,15478
has_gene_product_element,NCI,15471
gene_product_is_element_in_pathway,NCI,15471
has_gdc_value,NCI,15465
is_value_for_gdc_property,NCI,15465
may_be_treated_by,MED-RT,15352
may_treat,MED-RT,15352
gene_is_element_in_pathway,NCI,15347
pathway_has_gene_element,NCI,15347
disease_may_have_molecular_abnormality,NCI,15246
may_be_molecular_abnormality_of_disease,NCI,15246
inverse_isa,MSH,15147
isa,MSH,15147
count_of_base_of_active_ingredient_of,SNOMEDCT_US,14724
has_count_of_base_of_active_ingredient,SNOMEDCT_US,14724
count_of_base_of_active_ingredient_of,SCTSPA,14722
has_count_of_base_of_active_ingredient,SCTSPA,14722
chemotherapy_regimen_has_component,NCI,13986
is_component_of_chemotherapy_regimen,NCI,13986
co-occurs_with,CCPSS,13768
isa,UMD,13674
inverse_isa,UMD,13674
method_of,CPT,13598
has_method,CPT,13598
associated_finding_of,SNOMEDCT_US,13514
has_associated_finding,SNOMEDCT_US,13514
has_specimen,MEDCIN,13259
specimen_of,MEDCIN,13259
associated_finding_of,SCTSPA,13088
has_associated_finding,SCTSPA,13088
gene_found_in_organism,NCI,12850
organism_has_gene,NCI,12850
may_be_cytogenetic_abnormality_of_disease,NCI,12686
disease_may_have_cytogenetic_abnormality,NCI,12686
evaluation_of,LNC,12668
has_evaluation,LNC,12668
has_basis_of_strength_substance,SNOMEDCT_US,12390
basis_of_strength_substance_of,SNOMEDCT_US,12390
has_basis_of_strength_substance,SCTSPA,12389
basis_of_strength_substance_of,SCTSPA,12389
mapped_to,LCH_NW,12327
mapped_from,LCH_NW,12327
has_precise_ingredient,RXNORM,12233
precise_ingredient_of,RXNORM,12233
finding_context_of,SNOMEDCT_US,12092
has_finding_context,SNOMEDCT_US,12092
has_precise_active_ingredient,SNOMEDCT_US,12049
precise_active_ingredient_of,SNOMEDCT_US,12049
has_precise_active_ingredient,SCTSPA,12048
precise_active_ingredient_of,SCTSPA,12048
mapped_to,HLREL,11923
mapped_from,HLREL,11923
has_ingredients,RXNORM,11911
ingredients_of,RXNORM,11911
physiologic_effect_of,MED-RT,11810
has_physiologic_effect,MED-RT,11810
finding_context_of,SCTSPA,11716
has_finding_context,SCTSPA,11716
associated_with,SNOMEDCT_US,11480
has_contraindicated_drug,MED-RT,11453
contraindicated_with_disease,MED-RT,11453
associated_with,SCTSPA,11268
disposition_of,SNOMEDCT_US,11194
has_disposition,SNOMEDCT_US,11194
disposition_of,SCTSPA,11187
has_disposition,SCTSPA,11187
interprets,MEDCIN,11070
is_interpreted_by,MEDCIN,11070
consumer_friendly_form_of,CPT,10960
has_consumer_friendly_form,CPT,10960
definitional_manifestation_of,SNOMEDCT_US,10929
has_definitional_manifestation,SNOMEDCT_US,10929
translation_of,KCD5,10909
has_translation,KCD5,10909
has_component,PDQ,10814
component_of,PDQ,10814
definitional_manifestation_of,SCTSPA,10780
has_definitional_manifestation,SCTSPA,10780
role_played_by,SNOMEDCT_US,10766
plays_role,SNOMEDCT_US,10766
role_played_by,SCTSPA,10762
plays_role,SCTSPA,10762
has_part,RXNORM,10517
part_of,RXNORM,10517
branch_of,UWDA,10392
has_branch,UWDA,10392
used_for,CSP,10384
use,CSP,10384
access_of,SNOMEDCT_US,10344
has_access,SNOMEDCT_US,10344
access_of,SCTSPA,10338
has_access,SCTSPA,10338
has_focus,MEDCIN,10312
focus_of,MEDCIN,10312
has_physical_part_of_anatomic_structure,NCI,10306
anatomic_structure_is_physical_part_of,NCI,10306
occurs_after,SNOMEDCT_US,10272
occurs_before,SNOMEDCT_US,10272
finding_method_of,SNOMEDCT_US,10190
has_finding_method,SNOMEDCT_US,10190
occurs_before,SCTSPA,10096
occurs_after,SCTSPA,10096
has_procedure_site,CPT,10013
procedure_site_of,CPT,10013
finding_method_of,SCTSPA,9970
has_finding_method,SCTSPA,9970
has_focus,SNOMEDCT_US,9714
focus_of,SNOMEDCT_US,9714
part_of,GO,9660
has_part,GO,9660
uses_substance,SNOMEDCT_US,9154
substance_used_by,SNOMEDCT_US,9154
clinically_similar,RAM,9126
has_focus,SCTSPA,9101
focus_of,SCTSPA,9101
is_not_normal_cell_origin_of_disease,NCI,9051
disease_excludes_normal_cell_origin,NCI,9051
has_expanded_form,HCPCS,9006
expanded_form_of,HCPCS,9006
uses_substance,SCTSPA,8975
substance_used_by,SCTSPA,8975
has_component,MEDCIN,8884
component_of,MEDCIN,8884
has_boss,RXNORM,8718
boss_of,RXNORM,8718
has_procedure_site,MEDCIN,8699
procedure_site_of,MEDCIN,8699
is_structural_domain_or_motif_of_gene_product,NCI,8529
gene_product_has_structural_domain_or_motif,NCI,8529
active_ingredient_of,MEDCIN,8393
has_active_ingredient,MEDCIN,8393
presentation_strength_numerator_unit_of,SNOMEDCT_US,8315
presentation_strength_numerator_unit_of,SCTSPA,8315
has_presentation_strength_numerator_unit,SNOMEDCT_US,8315
has_presentation_strength_numerator_unit,SCTSPA,8315
clinical_course_of,SNOMEDCT_US,8105
has_clinical_course,SNOMEDCT_US,8105
presentation_strength_denominator_unit_of,SNOMEDCT_US,8031
presentation_strength_denominator_unit_of,SCTSPA,8031
has_presentation_strength_denominator_unit,SNOMEDCT_US,8031
has_presentation_strength_denominator_unit,SCTSPA,8031
gene_mapped_to_disease,NCI,8029
disease_mapped_to_gene,NCI,8029
partially_equivalent_to,SNOMEDCT_US,8000
mechanism_of_action_of,MED-RT,7838
has_mechanism_of_action,MED-RT,7838
is_associated_anatomy_of_gene_product,NCI,7765
gene_product_has_associated_anatomy,NCI,7765
inheritance_type_of,OMIM,7760
has_inheritance_type,OMIM,7760
uses,SNOMEDCT_US,7642
used_by,SNOMEDCT_US,7642
clinical_course_of,SCTSPA,7641
has_clinical_course,SCTSPA,7641
uses,SCTSPA,7638
used_by,SCTSPA,7638
add_on_code_for,CPT,7536
has_add_on_code,CPT,7536
parent_group_of,LNC,7519
has_parent_group,LNC,7519
expanded_form_of,ICPC2P,7495
has_expanded_form,ICPC2P,7495
has_imaged_location,LNC,7449
is_imaged_location_for,LNC,7449
is_stage_of_disease,NCI,7099
disease_is_stage,NCI,7099
branch_of,FMA,7032
has_branch,FMA,7032
has_modality_type,LNC,7028
is_modality_type_for,LNC,7028
has_associated_procedure,SNOMEDCT_US,6794
associated_procedure_of,SNOMEDCT_US,6794
has_quantified_form,RXNORM,6765
quantified_form_of,RXNORM,6765
unit_of_presentation_of,SNOMEDCT_US,6742
unit_of_presentation_of,SCTSPA,6742
has_unit_of_presentation,SNOMEDCT_US,6742
has_unit_of_presentation,SCTSPA,6742
has_indirect_procedure_site,MEDCIN,6729
indirect_procedure_site_of,MEDCIN,6729
has_presentation_strength_numerator_value,SNOMEDCT_US,6689
has_presentation_strength_numerator_value,SCTSPA,6689
presentation_strength_numerator_value_of,SNOMEDCT_US,6689
presentation_strength_numerator_value_of,SCTSPA,6689
is_target,NCI,6621
has_target,NCI,6621
mapped_to,CST,6509
mapped_from,CST,6509
has_method,MEDCIN,6482
method_of,MEDCIN,6482
has_imaging_focus,LNC,6427
is_imaging_focus_of,LNC,6427
includes,RXNORM,6400
included_in,RXNORM,6400
procedure_context_of,SNOMEDCT_US,6374
has_procedure_context,SNOMEDCT_US,6374
has_associated_procedure,SCTSPA,6325
associated_procedure_of,SCTSPA,6325
has_measured_component,SNOMEDCT_US,6305
measured_component_of,SNOMEDCT_US,6305
has_measured_component,SCTSPA,6297
measured_component_of,SCTSPA,6297
regulates,GO,6271
regulated_by,GO,6271
is_biochemical_function_of_gene_product,NCI,6045
gene_product_has_biochemical_function,NCI,6045
has_divisor,LNC,6024
divisor_of,LNC,6024
has_presentation_strength_denominator_value,SNOMEDCT_US,6013
has_presentation_strength_denominator_value,SCTSPA,6013
presentation_strength_denominator_value_of,SNOMEDCT_US,6013
presentation_strength_denominator_value_of,SCTSPA,6013
procedure_context_of,SCTSPA,5917
has_procedure_context,SCTSPA,5917
other_mapped_to,ICD10AM,5751
other_mapped_from,ICD10AM,5751
has_tradename,NCI,5718
tradename_of,NCI,5718
genetic_biomarker_related_to,NCI,5712
related_to_genetic_biomarker,NCI,5712
associated_with,BI,5696
has_member,ATC,5678
member_of,ATC,5678
positively_regulates,GO,5597
positively_regulated_by,GO,5597
negatively_regulates,GO,5557
negatively_regulated_by,GO,5557
therapeutic_class_of,MED-RT,5539
has_therapeutic_class,MED-RT,5539
is_not_primary_anatomic_site_of_disease,NCI,5283
disease_excludes_primary_anatomic_site,NCI,5283
inverse_isa,MSHCZE,5084
inverse_isa,MSHPOL,5084
inverse_isa,MSHFRE,5084
inverse_isa,MSHRUS,5084
inverse_isa,MSHPOR,5084
inverse_isa,MSHSPA,5084
isa,MSHCZE,5084
isa,MSHPOL,5084
isa,MSHSPA,5084
isa,MSHPOR,5084
isa,MSHFRE,5084
isa,MSHRUS,5084
inverse_isa,MSHGER,5077
isa,MSHGER,5077
inverse_isa,MSHSWE,5045
isa,MSHSWE,5045
specimen_of,SNOMEDCT_US,5016
has_specimen,SNOMEDCT_US,5016
specimen_of,SCTSPA,5015
has_specimen,SCTSPA,5015
inverse_isa,MSHITA,5009
isa,MSHITA,5009
molecular_abnormality_involves_gene,NCI,4865
gene_involved_in_molecular_abnormality,NCI,4865
course_of,SNOMEDCT_US,4808
has_course,SNOMEDCT_US,4808
course_of,SCTSPA,4803
has_course,SCTSPA,4803
gene_in_chromosomal_location,NCI,4739
is_chromosomal_location_of_gene,NCI,4739
has_causative_agent,MEDCIN,4725
causative_agent_of,MEDCIN,4725
related_to,MEDLINEPLUS,4718
mapped_from,LNC,4657
mapped_to,LNC,4657
referred_to_by,SNOMEDCT_US,4603
refers_to,SNOMEDCT_US,4603
member_of,FMA,4542
has_member,FMA,4542
has_expanded_form,ALT,4396
expanded_form_of,ALT,4396
mth_has_xml_form,SNOMEDCT_US,4373
mth_has_plain_text_form,SNOMEDCT_US,4373
mth_xml_form_of,SNOMEDCT_US,4373
mth_plain_text_form_of,SNOMEDCT_US,4373
mth_has_expanded_form,GO,4338
mth_expanded_form_of,GO,4338
uses_substance,MEDCIN,4320
substance_used_by,MEDCIN,4320
inverse_isa,PDQ,4298
isa,PDQ,4298
revision_status_of,SNOMEDCT_US,4265
has_revision_status,SNOMEDCT_US,4265
mth_plain_text_form_of,SCTSPA,4264
mth_xml_form_of,SCTSPA,4264
mth_has_plain_text_form,SCTSPA,4264
mth_has_xml_form,SCTSPA,4264
revision_status_of,SCTSPA,4262
has_revision_status,SCTSPA,4262
has_lateral_anatomic_location,LNC,4245
is_lateral_anatomic_location_of,LNC,4245
inverse_isa,MSHFIN,4236
isa,MSHFIN,4236
has_lateral_location_presence,LNC,4223
is_presence_of_lateral_location,LNC,4223
lab_number_of,PDQ,4204
has_lab_number,PDQ,4204
has_finding_site,SNOMEDCT_VET,4197
finding_site_of,SNOMEDCT_VET,4197
expanded_form_of,NCBI,4167
has_expanded_form,NCBI,4167
concentration_strength_numerator_unit_of,SNOMEDCT_US,4153
has_concentration_strength_numerator_unit,SNOMEDCT_US,4153
concentration_strength_numerator_unit_of,SCTSPA,4152
has_concentration_strength_numerator_unit,SCTSPA,4152
access_device_used_by,SNOMEDCT_US,4118
uses_access_device,SNOMEDCT_US,4118
concentration_strength_denominator_unit_of,SNOMEDCT_US,4116
has_concentration_strength_denominator_unit,SNOMEDCT_US,4116
concentration_strength_denominator_unit_of,SCTSPA,4115
has_concentration_strength_denominator_unit,SCTSPA,4115
access_device_used_by,SCTSPA,4113
uses_access_device,SCTSPA,4113
has_ctcae_5_parent,NCI,4048
ctcae_5_parent_of,NCI,4048
has_aggregation_view,LNC,3971
is_aggregation_view_of,LNC,3971
inverse_isa,MSHJPN,3911
isa,MSHJPN,3911
inverse_isa,CPM,3853
isa,CPM,3853
temporally_followed_by,SNOMEDCT_US,3778
temporally_followed_by,SCTSPA,3778
temporally_follows,SNOMEDCT_US,3778
temporally_follows,SCTSPA,3778
has_measurement_method,MEDCIN,3685
measurement_method_of,MEDCIN,3685
characterized_by,SNOMEDCT_US,3684
characterizes,SNOMEDCT_US,3684
characterized_by,SCTSPA,3680
characterizes,SCTSPA,3680
replaces,SNOMEDCT_VET,3665
replaced_by,SNOMEDCT_VET,3665
has_member,PSY,3631
member_of,PSY,3631
has_expanded_form,PDQ,3606
expanded_form_of,PDQ,3606
has_conceptual_part,NCI,3585
conceptual_part_of,NCI,3585
