CUI1,CUI2,RELA,SAB,CUI1_name,CUI2_name
C0004320,C0520459,contraindicated_with_disease,MED-RT,auranofin,Necrotizing Enterocolitis
C0004475,C0345904,contraindicated_with_disease,MED-RT,azacitidine,Malignant neoplasm of liver
C0004482,C0003873,may_treat,MED-RT,azathioprine,Rheumatoid Arthritis
C0004482,C0009324,may_treat,MED-RT,azathioprine,Ulcerative Colitis
C0004482,C0010346,may_treat,MED-RT,azathioprine,Crohn Disease
C0004482,C0018133,may_prevent,MED-RT,azathioprine,Graft-vs-Host Disease
C0004482,C0024141,may_treat,MED-RT,azathioprine,"Lupus Erythematosus, Systemic"
C0004482,C0026769,may_treat,MED-RT,azathioprine,Multiple Sclerosis
C0004482,C0032984,contraindicated_with_disease,MED-RT,azathioprine,"Pregnancy, Abdominal"
C0004499,C0004623,may_prevent,MED-RT,azlocillin,Bacterial Infections
C0004499,C0004623,may_treat,MED-RT,azlocillin,Bacterial Infections
C0004499,C0014836,may_treat,MED-RT,azlocillin,Escherichia coli Infections
C0004521,C0004623,may_prevent,MED-RT,aztreonam,Bacterial Infections
C0004521,C0004623,may_treat,MED-RT,aztreonam,Bacterial Infections
C0004521,C0007642,may_treat,MED-RT,aztreonam,Cellulitis
C0004521,C0042029,may_treat,MED-RT,aztreonam,Urinary tract infection
C0004609,C0007789,may_treat,MED-RT,baclofen,Cerebral Palsy
C0004609,C0019521,may_treat,MED-RT,baclofen,Hiccough
C0004609,C0026769,may_treat,MED-RT,baclofen,Multiple Sclerosis
C0004609,C0038018,may_treat,MED-RT,baclofen,Spondylolysis
C0004754,C0021843,contraindicated_with_disease,MED-RT,barium sulfate,Intestinal Obstruction
C0004905,C0027430,may_prevent,MED-RT,beclomethasone,Nasal Polyp
C0004906,C0027430,may_prevent,MED-RT,beclomethasone dipropionate,Nasal Polyp
C0004954,C0001973,contraindicated_with_disease,MED-RT,belladonna alkaloids,"Alcoholic Intoxication, Chronic"
C0004954,C0017601,contraindicated_with_disease,MED-RT,belladonna alkaloids,Glaucoma
C0004954,C0018681,may_treat,MED-RT,belladonna alkaloids,Headache
C0004954,C0023895,contraindicated_with_disease,MED-RT,belladonna alkaloids,Liver diseases
C0004954,C0037763,may_treat,MED-RT,belladonna alkaloids,Spasm
C0004963,C0003469,may_treat,MED-RT,diphenhydramine hydrochloride,Anxiety Disorders
C0004963,C0037383,may_treat,MED-RT,diphenhydramine hydrochloride,Sneezing
C0004963,C0042109,may_treat,MED-RT,diphenhydramine hydrochloride,Urticaria
C0004975,C0018801,may_treat,MED-RT,bendroflumethiazide,Heart failure
C0005013,C0003469,may_treat,MED-RT,benperidol,Anxiety Disorders
C0005013,C0036341,may_treat,MED-RT,benperidol,Schizophrenia
C0005025,C0004623,may_prevent,MED-RT,benzalkonium,Bacterial Infections
C0005026,C0004623,may_prevent,MED-RT,benzalkonium chloride,Bacterial Infections
C0005038,C0030756,may_treat,MED-RT,lindane,Lice Infestations
C0005038,C0036262,may_treat,MED-RT,lindane,Scabies infestation
C0005059,C0004623,contraindicated_with_disease,MED-RT,benzocaine,Bacterial Infections
C0005059,C0013456,may_treat,MED-RT,benzocaine,Earache
C0005059,C0016167,may_treat,MED-RT,benzocaine,Anal Fissure
C0005059,C0019348,may_treat,MED-RT,benzocaine,Herpes simplex infection
C0005059,C0029878,may_treat,MED-RT,benzocaine,Otitis Externa
C0005059,C0029882,may_treat,MED-RT,benzocaine,Otitis Media
C0005059,C0033774,may_treat,MED-RT,benzocaine,Pruritus
C0005088,C0001144,may_treat,MED-RT,benzoyl peroxide,Acne Vulgaris
C0005088,C0035854,may_treat,MED-RT,benzoyl peroxide,Rosacea
C0005096,C0017601,contraindicated_with_disease,MED-RT,benzphetamine,Glaucoma
C0005096,C0028754,may_treat,MED-RT,benzphetamine,Obesity
C0005096,C0040517,contraindicated_with_disease,MED-RT,benzphetamine,Gilles de la Tourette syndrome
C0005096,C1263846,contraindicated_with_disease,MED-RT,benzphetamine,Attention deficit hyperactivity disorder
C0005098,C0021843,contraindicated_with_disease,MED-RT,benztropine,Intestinal Obstruction
C0005098,C0026896,contraindicated_with_disease,MED-RT,benztropine,Myasthenia Gravis
C0005098,C0030920,contraindicated_with_disease,MED-RT,benztropine,Peptic Ulcer
C0005100,C0030756,may_prevent,MED-RT,benzyl alcohol,Lice Infestations
C0005100,C0030756,may_treat,MED-RT,benzyl alcohol,Lice Infestations
C0005116,C0002962,may_treat,MED-RT,bepridil,Angina Pectoris
C0005116,C0020649,contraindicated_with_disease,MED-RT,bepridil,Hypotension
C0005116,C0042514,contraindicated_with_disease,MED-RT,bepridil,"Tachycardia, Ventricular"
C0005304,C0019880,may_treat,MED-RT,betaine,Homocystinuria
C0005308,C0011615,may_treat,MED-RT,betamethasone,"Dermatitis, Atopic"
C0005308,C0026946,contraindicated_with_disease,MED-RT,betamethasone,Mycoses
C0005308,C0033775,may_treat,MED-RT,betamethasone,Pruritus Ani
C0005308,C0033860,may_treat,MED-RT,betamethasone,Psoriasis
C0005308,C0036508,may_treat,MED-RT,betamethasone,Seborrheic dermatitis
C0005310,C0011615,may_treat,MED-RT,betamethasone acetate,"Dermatitis, Atopic"
C0005310,C0026946,contraindicated_with_disease,MED-RT,betamethasone acetate,Mycoses
C0005310,C0033775,may_treat,MED-RT,betamethasone acetate,Pruritus Ani
C0005310,C0033860,may_treat,MED-RT,betamethasone acetate,Psoriasis
C0005310,C0036508,may_treat,MED-RT,betamethasone acetate,Seborrheic dermatitis
C0005311,C0011615,may_treat,MED-RT,betamethasone benzoate,"Dermatitis, Atopic"
C0005311,C0026946,contraindicated_with_disease,MED-RT,betamethasone benzoate,Mycoses
C0005311,C0033775,may_treat,MED-RT,betamethasone benzoate,Pruritus Ani
C0005311,C0033860,may_treat,MED-RT,betamethasone benzoate,Psoriasis
C0005311,C0036508,may_treat,MED-RT,betamethasone benzoate,Seborrheic dermatitis
C0005320,C0004245,contraindicated_with_disease,MED-RT,betaxolol,Atrioventricular Block
C0005320,C0017612,may_treat,MED-RT,betaxolol,"Glaucoma, Open-Angle"
C0005320,C0018801,contraindicated_with_disease,MED-RT,betaxolol,Heart failure
