CUI1,CUI2,RELA,SAB
C0005642,C0011991,may_treat,MED-RT
C0005642,C0014836,may_treat,MED-RT
C0005642,C0042769,may_treat,MED-RT
C0005642,C1527298,may_treat,MED-RT
C0005739,C0019829,may_treat,MED-RT
C0005740,C0019829,may_treat,MED-RT
C0006020,C0029878,may_prevent,MED-RT
C0006020,C0038814,may_treat,MED-RT
C0006050,C0005747,may_treat,MED-RT
C0006050,C0016167,may_treat,MED-RT
C0006050,C0038379,may_treat,MED-RT
C0006051,C0152116,may_treat,MED-RT
C0006168,C0042510,may_prevent,MED-RT
C0006168,C0042510,may_treat,MED-RT
C0006168,C0042514,may_treat,MED-RT
C0006213,C0003469,may_treat,MED-RT
C0006213,C0917801,may_treat,MED-RT
C0006230,C0002453,may_treat,MED-RT
C0006230,C0020514,may_treat,MED-RT
C0006230,C0027849,may_treat,MED-RT
C0006230,C0151744,contraindicated_with_disease,MED-RT
C0006246,C0021843,contraindicated_with_disease,MED-RT
C0006246,C0030920,contraindicated_with_disease,MED-RT
C0006246,C0035460,may_treat,MED-RT
C0006246,C0041969,contraindicated_with_disease,MED-RT
C0006246,C0042109,may_treat,MED-RT
C0006376,C0011175,contraindicated_with_disease,MED-RT
C0006376,C0018801,may_treat,MED-RT
C0006376,C0022660,may_treat,MED-RT
C0006376,C0034063,may_treat,MED-RT
C0006388,C0017612,may_treat,MED-RT
C0006403,C0017601,may_treat,MED-RT
C0006462,C0003469,may_treat,MED-RT
C0006463,C0032463,may_treat,MED-RT
C0006491,C0021843,contraindicated_with_disease,MED-RT
C0006491,C0027412,contraindicated_with_disease,MED-RT
C0006668,C0029401,may_treat,MED-RT
C0006668,C0029434,may_treat,MED-RT
C0006674,C0020502,may_treat,MED-RT
C0006674,C0020598,may_treat,MED-RT
C0006674,C0024523,contraindicated_with_disease,MED-RT
C0006674,C0033860,may_treat,MED-RT
C0006674,C0042870,may_prevent,MED-RT
C0006674,C0042875,may_treat,MED-RT
C0006681,C0017168,may_treat,MED-RT
C0006681,C0018834,may_treat,MED-RT
C0006681,C0020598,may_treat,MED-RT
C0006686,C0018790,may_treat,MED-RT
C0006686,C0020598,may_treat,MED-RT
C0006686,C0042510,contraindicated_with_disease,MED-RT
C0006692,C0019158,contraindicated_with_disease,MED-RT
C0006692,C0023176,may_prevent,MED-RT
C0006699,C0018790,may_treat,MED-RT
C0006699,C0020598,may_treat,MED-RT
C0006699,C0042510,contraindicated_with_disease,MED-RT
C0006700,C0020598,may_treat,MED-RT
C0006710,C0020598,may_treat,MED-RT
C0006710,C0042850,may_treat,MED-RT
C0006711,C0020598,may_treat,MED-RT
C0006724,C0014544,may_treat,MED-RT
C0006724,C0023895,contraindicated_with_disease,MED-RT
C0006724,C0154246,contraindicated_with_disease,MED-RT
C0006837,C0019087,contraindicated_with_disease,MED-RT
C0006863,C0238111,may_treat,MED-RT
C0006886,C0026393,may_treat,MED-RT
C0006886,C3665596,may_treat,MED-RT
C0006931,C0019360,may_treat,MED-RT
C0006938,C0003873,may_treat,MED-RT
C0006938,C0004775,may_treat,MED-RT
C0006938,C0018801,may_treat,MED-RT
C0006938,C0020428,contraindicated_with_disease,MED-RT
C0006938,C0020649,contraindicated_with_disease,MED-RT
C0006945,C0017601,may_treat,MED-RT
C0006949,C0005586,may_treat,MED-RT
C0006949,C0035258,may_treat,MED-RT
C0006949,C0036341,may_treat,MED-RT
C0006949,C0038436,may_treat,MED-RT
C0006949,C0525045,may_treat,MED-RT
C0006976,C0004623,may_prevent,MED-RT
C0006976,C0004623,may_treat,MED-RT
C0006976,C0033581,may_treat,MED-RT
C0006976,C0042029,may_treat,MED-RT
C0007047,C0010692,may_treat,MED-RT
C0007047,C0018799,contraindicated_with_disease,MED-RT
C0007047,C0023895,contraindicated_with_disease,MED-RT
C0007047,C0242172,contraindicated_with_disease,MED-RT
C0007248,C0027121,may_treat,MED-RT
C0007248,C0037763,may_treat,MED-RT
C0007257,C0019829,may_treat,MED-RT
C0007257,C0026764,may_treat,MED-RT
C0007257,C0027947,contraindicated_with_disease,MED-RT
C0007257,C0040034,contraindicated_with_disease,MED-RT
C0007299,C0017612,may_treat,MED-RT
C0007299,C0018801,contraindicated_with_disease,MED-RT
C0007299,C0020649,contraindicated_with_disease,MED-RT
C0007299,C0034063,contraindicated_with_disease,MED-RT
C0007299,C0036980,contraindicated_with_disease,MED-RT
C0007537,C0004623,may_prevent,MED-RT
C0007537,C0004623,may_treat,MED-RT
C0007537,C0014836,may_treat,MED-RT
C0007537,C0029882,may_treat,MED-RT
C0007537,C0042029,may_treat,MED-RT
C0007538,C0004623,may_prevent,MED-RT
C0007538,C0004623,may_treat,MED-RT
C0007538,C0014836,may_treat,MED-RT
C0007538,C0021099,may_treat,MED-RT
C0007538,C0042029,may_treat,MED-RT
